,index,CALCACRES,geometry,index_right,Unnamed: 0,Application ID,Project Name,Name of Approved Vendor,group,lat,lon,Size (kW AC),Address,Ordinal,Lottery Status,Block,Queue Number,Small Subscribers,formatted_address,accuracy,type,clean_add,man_update,town,lat_deg_dec_min,lon_deg_dec_min
0,0,17.2,"POLYGON ((641640.9426396997 4425102.757795441, 641641.3286396996 4425018.65779544, 641695.9686396996 4425020.204795441, 641696.5146396996 4425032.984795441, 641702.8646396997 4425043.143795441, 641732.5666396996 4425045.977795441, 641744.7746396996 4425043.143795441, 641749.8546396997 4425040.604795441, 641761.2846396996 4425025.364795441, 641775.2546396997 4425021.554795441, 641789.2246396997 4425021.554795441, 641805.2476396996 4425023.297795441, 641809.5456396997 4425046.954795441, 641824.3206396997 4425055.256795441, 641856.7956396997 4425053.194795441, 641868.2086396996 4425048.194795441, 641867.0866396996 4424893.385795441, 641456.5736396996 4424898.272795441, 641456.9066396997 4424938.763795441, 641458.2556396996 4425102.493795441, 641460.4126396996 4425102.49879544, 641608.8846396997 4425102.835795441, 641640.9426396997 4425102.757795441))",320,320,2355,Adams 1(a),"Illinois PV Adams 1, LLC",A,39.962419,-91.341325,2000.0,"4620 Kochs Lane, Quincy, IL  62305",418,Waitlist,,,Yes,"4620 Kochs Ln, Quincy, IL 62305, USA",ROOFTOP,street_address,"4620 Kochs Lane, Quincy, IL  62305",0.0,,,
1,1,17.2,"POLYGON ((641640.9426396997 4425102.757795441, 641641.3286396996 4425018.65779544, 641695.9686396996 4425020.204795441, 641696.5146396996 4425032.984795441, 641702.8646396997 4425043.143795441, 641732.5666396996 4425045.977795441, 641744.7746396996 4425043.143795441, 641749.8546396997 4425040.604795441, 641761.2846396996 4425025.364795441, 641775.2546396997 4425021.554795441, 641789.2246396997 4425021.554795441, 641805.2476396996 4425023.297795441, 641809.5456396997 4425046.954795441, 641824.3206396997 4425055.256795441, 641856.7956396997 4425053.194795441, 641868.2086396996 4425048.194795441, 641867.0866396996 4424893.385795441, 641456.5736396996 4424898.272795441, 641456.9066396997 4424938.763795441, 641458.2556396996 4425102.493795441, 641460.4126396996 4425102.49879544, 641608.8846396997 4425102.835795441, 641640.9426396997 4425102.757795441))",106,106,2377,Adams 1(b),"Illinois PV Adams 1, LLC",A,39.962419,-91.341325,2000.0,"4620 Kochs Lane, Quincy, IL  62305",138,Waitlist,,,Yes,"4620 Kochs Ln, Quincy, IL 62305, USA",ROOFTOP,street_address,"4620 Kochs Lane, Quincy, IL  62305",0.0,,,
2,2,8.65,"POLYGON ((639402.5516396996 4426724.478795441, 639253.9896396997 4426722.792795441, 639196.7086396996 4426722.142795441, 639158.9566396996 4426721.713795441, 639158.9566396996 4426765.39579544, 639161.4966396997 4426776.825795441, 639179.2766396997 4426781.905795441, 639198.3266396996 4426781.905795441, 639204.6766396996 4426786.985795441, 639203.4066396997 4426800.955795441, 639197.0566396996 4426808.575795441, 639058.4376396997 4426807.370795441, 639059.6076396997 4426848.33379544, 639403.1476396996 4426857.909795441, 639402.5516396996 4426724.478795441))",301,301,3690,Adams 2(b),"Sunrise Illinois, LLC",A,39.9796458,-91.3695853,2000.0,"2815 Ellington Road, Quincy, IL  62305",393,Waitlist,,,Yes,"2815 Ellington Rd, Quincy, IL 62305, USA",ROOFTOP,street_address,"2815 Ellington Road, Quincy, IL  62305",0.0,,,
3,3,8.65,"POLYGON ((639402.5516396996 4426724.478795441, 639253.9896396997 4426722.792795441, 639196.7086396996 4426722.142795441, 639158.9566396996 4426721.713795441, 639158.9566396996 4426765.39579544, 639161.4966396997 4426776.825795441, 639179.2766396997 4426781.905795441, 639198.3266396996 4426781.905795441, 639204.6766396996 4426786.985795441, 639203.4066396997 4426800.955795441, 639197.0566396996 4426808.575795441, 639058.4376396997 4426807.370795441, 639059.6076396997 4426848.33379544, 639403.1476396996 4426857.909795441, 639402.5516396996 4426724.478795441))",118,118,3687,Adams 2(a),"Sunrise Illinois, LLC",A,39.9796458,-91.3695853,2000.0,"2815 Ellington Road, Quincy, IL  62305",152,Waitlist,,,Yes,"2815 Ellington Rd, Quincy, IL 62305, USA",ROOFTOP,street_address,"2815 Ellington Road, Quincy, IL  62305",0.0,,,
4,4,0.13,"POLYGON ((803707.3347792821 4325741.313578803, 803674.1314966746 4325740.181480889, 803673.3411878136 4325765.02539986, 803697.4186469438 4325755.365599513, 803707.3347792821 4325741.313578803))",187,187,910,SPG IL Shoal Creek Solar LLC,Solar Provider Group LLC,A,39.0280469,-89.4920725,2000.0,"11001 Donnellson Avenue, Donnellson, IL  62019",243,Waitlist,,1,Yes,"11001 Donnellson Ave, Donnellson, IL 62019, USA",ROOFTOP,street_address,"11001 Donnellson Avenue, Donnellson, IL  62019",0.0,,,
5,5,68.33,"POLYGON ((838997.6489236315 4686211.513280894, 839006.5229834232 4686031.242707374, 839028.9441942589 4685575.803252489, 838631.2243285963 4685446.014086175, 838616.6544343329 4685759.847408737, 838613.5244701356 4685836.032626464, 838610.1135329118 4685894.968196799, 838607.155055022 4685971.238781351, 838607.048736929 4685973.555616727, 838603.2586095906 4686056.275854575, 838597.2944598256 4686186.389238643, 838997.6489236315 4686211.513280894))",391,391,1288,"GSPP Stag 857 Landmark, LLC","Green Street Power Partners, LLC",B,42.250350700000006,-88.8943717,1990.0,"857 Landmark, Belvidere, IL  61008",18,Accepted,1.0,,Yes,"857 Landmark Dr, Belvidere, IL 61008, USA",ROOFTOP,premise,"857 Landmark, Belvidere, IL  61008",0.0,,,
6,6,68.33,"POLYGON ((838997.6489236315 4686211.513280894, 839006.5229834232 4686031.242707374, 839028.9441942589 4685575.803252489, 838631.2243285963 4685446.014086175, 838616.6544343329 4685759.847408737, 838613.5244701356 4685836.032626464, 838610.1135329118 4685894.968196799, 838607.155055022 4685971.238781351, 838607.048736929 4685973.555616727, 838603.2586095906 4686056.275854575, 838597.2944598256 4686186.389238643, 838997.6489236315 4686211.513280894))",702,702,1237,"GSPP BB 888 Landmark, LLC","Green Street Power Partners, LLC",B,42.2514076,-88.8921244,1800.0,"888 Landmark, Belvidere, IL  61008",378,Waitlist,,,Yes,"888 Landmark Dr, Belvidere, IL 61008, USA",ROOFTOP,premise,"888 Landmark, Belvidere, IL  61008",0.0,,,
7,7,68.33,"POLYGON ((838997.6489236315 4686211.513280894, 839006.5229834232 4686031.242707374, 839028.9441942589 4685575.803252489, 838631.2243285963 4685446.014086175, 838616.6544343329 4685759.847408737, 838613.5244701356 4685836.032626464, 838610.1135329118 4685894.968196799, 838607.155055022 4685971.238781351, 838607.048736929 4685973.555616727, 838603.2586095906 4686056.275854575, 838597.2944598256 4686186.389238643, 838997.6489236315 4686211.513280894))",625,625,1284,"GSPP Stag 725 Landmark, LLC","Green Street Power Partners, LLC",B,42.253815100000004,-88.8941469,954.0,"725 Landmark, Belvidere, IL  61008",293,Waitlist,,18-02197,Yes,"725 Landmark Dr, Belvidere, IL 61008, USA",ROOFTOP,premise,"725 Landmark, Belvidere, IL  61008",0.0,,,
8,8,42.07,"POLYGON ((841226.3014359713 4699412.779295328, 841179.5266865673 4699409.470267863, 841187.2981219962 4699318.087965395, 840789.1286745968 4699292.600134899, 840765.5481945388 4699684.820442464, 840832.8108976807 4699689.579101074, 840965.2443038903 4699698.948422729, 840975.4774355304 4699699.672390816, 841207.3565240027 4699716.077264512, 841226.3014359713 4699412.779295328))",870,870,2362,Poplar Grove Solar,"Poplar Grove Solar, LLC",B,42.373954,-88.856898,2000.0,"42.373954°N, 88.856898°W, Poplar Grove 61011",118,Waitlist,,,Yes,,,,,, Poplar Grove 61011,,
9,9,42.07,"POLYGON ((841226.3014359713 4699412.779295328, 841179.5266865673 4699409.470267863, 841187.2981219962 4699318.087965395, 840789.1286745968 4699292.600134899, 840765.5481945388 4699684.820442464, 840832.8108976807 4699689.579101074, 840965.2443038903 4699698.948422729, 840975.4774355304 4699699.672390816, 841207.3565240027 4699716.077264512, 841226.3014359713 4699412.779295328))",892,892,2663,Poplar Grove Solar 2,"Poplar Grove Solar, LLC",B,42.373954,-88.856898,2000.0,"42.373954°N, 88.856898°W, Poplar Grove 61011",253,Waitlist,,,Yes,,,,,, Poplar Grove 61011,,
