,Unnamed: 0,Application ID,Project Name,Name of Approved Vendor,group,lat,lon,Size (kW AC),Address,Ordinal,Lottery Status,Block,Queue Number,Small Subscribers,formatted_address,accuracy,type,clean_add,man_update,town,lat_deg_dec_min,lon_deg_dec_min,area_ov,field_ID,shape_file_ID,CALCACRES,geometry
0,106,2377,Adams 1(b),"Illinois PV Adams 1, LLC",A,39.962419,-91.341325,2000.0,"4620 Kochs Lane, Quincy, IL  62305",138,Waitlist,,,Yes,"4620 Kochs Ln, Quincy, IL 62305, USA",ROOFTOP,street_address,"4620 Kochs Lane, Quincy, IL  62305",0.0,,,,1859.8484457591321,1981,0,17.2,"POLYGON ((641640.9426396997 4425102.757795441, 641641.3286396996 4425018.65779544, 641695.9686396996 4425020.204795441, 641696.5146396996 4425032.984795441, 641702.8646396997 4425043.143795441, 641732.5666396996 4425045.977795441, 641744.7746396996 4425043.143795441, 641749.8546396997 4425040.604795441, 641761.2846396996 4425025.364795441, 641775.2546396997 4425021.554795441, 641789.2246396997 4425021.554795441, 641805.2476396996 4425023.297795441, 641809.5456396997 4425046.954795441, 641824.3206396997 4425055.256795441, 641856.7956396997 4425053.194795441, 641868.2086396996 4425048.194795441, 641867.0866396996 4424893.385795441, 641456.5736396996 4424898.272795441, 641456.9066396997 4424938.763795441, 641458.2556396996 4425102.493795441, 641460.4126396996 4425102.49879544, 641608.8846396997 4425102.835795441, 641640.9426396997 4425102.757795441))"
1,320,2355,Adams 1(a),"Illinois PV Adams 1, LLC",A,39.962419,-91.341325,2000.0,"4620 Kochs Lane, Quincy, IL  62305",418,Waitlist,,,Yes,"4620 Kochs Ln, Quincy, IL 62305, USA",ROOFTOP,street_address,"4620 Kochs Lane, Quincy, IL  62305",0.0,,,,1859.8484457591321,1981,0,17.2,"POLYGON ((641640.9426396997 4425102.757795441, 641641.3286396996 4425018.65779544, 641695.9686396996 4425020.204795441, 641696.5146396996 4425032.984795441, 641702.8646396997 4425043.143795441, 641732.5666396996 4425045.977795441, 641744.7746396996 4425043.143795441, 641749.8546396997 4425040.604795441, 641761.2846396996 4425025.364795441, 641775.2546396997 4425021.554795441, 641789.2246396997 4425021.554795441, 641805.2476396996 4425023.297795441, 641809.5456396997 4425046.954795441, 641824.3206396997 4425055.256795441, 641856.7956396997 4425053.194795441, 641868.2086396996 4425048.194795441, 641867.0866396996 4424893.385795441, 641456.5736396996 4424898.272795441, 641456.9066396997 4424938.763795441, 641458.2556396996 4425102.493795441, 641460.4126396996 4425102.49879544, 641608.8846396997 4425102.835795441, 641640.9426396997 4425102.757795441))"
2,118,3687,Adams 2(a),"Sunrise Illinois, LLC",A,39.9796458,-91.3695853,2000.0,"2815 Ellington Road, Quincy, IL  62305",152,Waitlist,,,Yes,"2815 Ellington Rd, Quincy, IL 62305, USA",ROOFTOP,street_address,"2815 Ellington Road, Quincy, IL  62305",0.0,,,,2672.5320390551215,2317,0,8.65,"POLYGON ((639402.5516396996 4426724.478795441, 639253.9896396997 4426722.792795441, 639196.7086396996 4426722.142795441, 639158.9566396996 4426721.713795441, 639158.9566396996 4426765.39579544, 639161.4966396997 4426776.825795441, 639179.2766396997 4426781.905795441, 639198.3266396996 4426781.905795441, 639204.6766396996 4426786.985795441, 639203.4066396997 4426800.955795441, 639197.0566396996 4426808.575795441, 639058.4376396997 4426807.370795441, 639059.6076396997 4426848.33379544, 639403.1476396996 4426857.909795441, 639402.5516396996 4426724.478795441))"
3,301,3690,Adams 2(b),"Sunrise Illinois, LLC",A,39.9796458,-91.3695853,2000.0,"2815 Ellington Road, Quincy, IL  62305",393,Waitlist,,,Yes,"2815 Ellington Rd, Quincy, IL 62305, USA",ROOFTOP,street_address,"2815 Ellington Road, Quincy, IL  62305",0.0,,,,2672.5320390551215,2317,0,8.65,"POLYGON ((639402.5516396996 4426724.478795441, 639253.9896396997 4426722.792795441, 639196.7086396996 4426722.142795441, 639158.9566396996 4426721.713795441, 639158.9566396996 4426765.39579544, 639161.4966396997 4426776.825795441, 639179.2766396997 4426781.905795441, 639198.3266396996 4426781.905795441, 639204.6766396996 4426786.985795441, 639203.4066396997 4426800.955795441, 639197.0566396996 4426808.575795441, 639058.4376396997 4426807.370795441, 639059.6076396997 4426848.33379544, 639403.1476396996 4426857.909795441, 639402.5516396996 4426724.478795441))"
0,391,1288,"GSPP Stag 857 Landmark, LLC","Green Street Power Partners, LLC",B,42.250350700000006,-88.8943717,1990.0,"857 Landmark, Belvidere, IL  61008",18,Accepted,1.0,,Yes,"857 Landmark Dr, Belvidere, IL 61008, USA",ROOFTOP,premise,"857 Landmark, Belvidere, IL  61008",0.0,,,,2822.893641482766,765,3,68.33,"POLYGON ((838997.6489236315 4686211.513280894, 839006.5229834232 4686031.242707374, 839028.9441942589 4685575.803252489, 838631.2243285963 4685446.014086175, 838616.6544343329 4685759.847408737, 838613.5244701356 4685836.032626464, 838610.1135329118 4685894.968196799, 838607.155055022 4685971.238781351, 838607.048736929 4685973.555616727, 838603.2586095906 4686056.275854575, 838597.2944598256 4686186.389238643, 838997.6489236315 4686211.513280894))"
1,625,1284,"GSPP Stag 725 Landmark, LLC","Green Street Power Partners, LLC",B,42.253815100000004,-88.8941469,954.0,"725 Landmark, Belvidere, IL  61008",293,Waitlist,,18-02197,Yes,"725 Landmark Dr, Belvidere, IL 61008, USA",ROOFTOP,premise,"725 Landmark, Belvidere, IL  61008",0.0,,,,2822.893641482766,765,3,68.33,"POLYGON ((838997.6489236315 4686211.513280894, 839006.5229834232 4686031.242707374, 839028.9441942589 4685575.803252489, 838631.2243285963 4685446.014086175, 838616.6544343329 4685759.847408737, 838613.5244701356 4685836.032626464, 838610.1135329118 4685894.968196799, 838607.155055022 4685971.238781351, 838607.048736929 4685973.555616727, 838603.2586095906 4686056.275854575, 838597.2944598256 4686186.389238643, 838997.6489236315 4686211.513280894))"
2,702,1237,"GSPP BB 888 Landmark, LLC","Green Street Power Partners, LLC",B,42.2514076,-88.8921244,1800.0,"888 Landmark, Belvidere, IL  61008",378,Waitlist,,,Yes,"888 Landmark Dr, Belvidere, IL 61008, USA",ROOFTOP,premise,"888 Landmark, Belvidere, IL  61008",0.0,,,,2822.893641482766,765,3,68.33,"POLYGON ((838997.6489236315 4686211.513280894, 839006.5229834232 4686031.242707374, 839028.9441942589 4685575.803252489, 838631.2243285963 4685446.014086175, 838616.6544343329 4685759.847408737, 838613.5244701356 4685836.032626464, 838610.1135329118 4685894.968196799, 838607.155055022 4685971.238781351, 838607.048736929 4685973.555616727, 838603.2586095906 4686056.275854575, 838597.2944598256 4686186.389238643, 838997.6489236315 4686211.513280894))"
3,412,922,Boone,"Borrego Solar Systems, Inc.",B,42.418515899999996,-88.846098,2000.0,"18219 IL Rte 76, Poplar Grove, IL  61065",43,Accepted,1.0,,Yes,"18219 IL-76, Poplar Grove, IL 61065, USA",ROOFTOP,street_address,"18219 IL Rte 76, Poplar Grove, IL  61065",0.0,,,,2347.487194659589,5807,3,154.41,"POLYGON ((841762.4121135417 4705013.852027762, 842164.0151536505 4705038.835798456, 842180.1933054543 4704641.109678909, 842180.7033512753 4704614.288714617, 842189.5903175331 4704410.077924155, 842197.7643938403 4704229.650695691, 841790.4137926977 4704208.984161828, 841396.5583273226 4704186.673663352, 841385.8945951005 4704444.235427849, 841435.6610231937 4704447.238253824, 841443.7615870272 4704443.126749438, 841462.9653676425 4704443.965579192, 841498.5613966172 4704448.567547445, 841511.1227657271 4704477.050499016, 841518.1181456975 4704481.191093442, 841542.6534706566 4704487.613405405, 841573.4777329782 4704493.440220566, 841602.8464771449 4704494.337388023, 841609.9173884775 4704502.485924842, 841618.5640016854 4704525.787859516, 841614.6116202229 4704537.481650054, 841593.7805762324 4704537.568373103, 841576.0949663916 4704537.357917439, 841554.7456323644 4704537.407941375, 841544.6104795136 4704540.855487077, 841504.7957814868 4704536.994558083, 841503.3471091734 4704528.041736015, 841492.1705654156 4704524.126987424, 841473.5217764392 4704522.806538348, 841446.7795266845 4704520.252616978, 841401.2006330476 4704516.494418812, 841412.6719099339 4704549.925470002, 841409.9321382754 4704729.28552177, 841400.2572185175 4704727.197342493, 841403.2551032766 4704556.906555737, 841398.2607233655 4704537.433280027, 841389.1698229508 4704515.50205242, 841382.9763011804 4704514.991250214, 841365.0694531209 4704988.316898137, 841762.4121135417 4705013.852027762), (841754.4352549399 4704401.773073902, 841755.6605146588 4704407.23342285, 841744.0215598965 4704419.842312439, 841741.6745647585 4704452.989607668, 841776.2280262667 4704540.937988021, 841770.3442503936 4704624.813785306, 841765.9912856172 4704625.580483672, 841758.5821118704 4704623.980939881, 841765.4858464459 4704549.24443986, 841728.1940337769 4704453.646992928, 841732.335153503 4704417.939939096, 841749.9255923671 4704397.155094163, 841754.4352549399 4704401.773073902))"
4,420,3072,"Kish Solar, LLC","Cypress Creek Renewables, LLC",B,42.2255639,-88.9202468,2000.0,"5259 Wheeler Rd, Cherry Valley, IL  61016",51,Accepted,1.0,,Yes,"5259 Wheeler Rd, Cherry Valley, IL 61016, USA",RANGE_INTERPOLATED,street_address,"5259 Wheeler Rd, Cherry Valley, IL  61016",0.0,,,,1538.916490539401,4931,3,77.12,"POLYGON ((836694.3381951866 4683129.385827305, 836696.8243366502 4683097.202971119, 836700.5897323883 4683043.82756133, 836711.3178655364 4682854.0367446, 836712.4325726363 4682843.327960946, 836715.2856388444 4682701.062851963, 836719.9955462406 4682598.157436832, 836723.3793072847 4682532.11909996, 836725.2472727539 4682437.317793996, 836313.9096291069 4682412.645448209, 836313.2970645605 4682412.608260804, 836299.4136230447 4682785.512529983, 836308.9331554512 4682795.10578785, 836309.2330123011 4682826.990261516, 836293.9406153895 4682845.029485116, 836271.0606019136 4683196.46198441, 836285.295090324 4683211.486050803, 836285.2338705382 4683212.353833657, 836416.6425970756 4683219.434585927, 836501.1607612679 4683221.363770049, 836507.1137071311 4683191.194859535, 836533.2677732462 4683163.72560439, 836555.3487555822 4683139.792602028, 836572.9987801817 4683124.468761744, 836575.6984996935 4683104.266618215, 836633.4844250375 4683098.146876539, 836636.7679647007 4683123.869283648, 836694.3381951866 4683129.385827305))"
5,450,3117,Boone 2(a),"Illinois PV Boone 2, LLC",B,42.413090999999994,-88.749868,2000.0,"17828 Capron Road, Capron, IL  61012",84,Waitlist,,,Yes,"17828 Capron Rd, Capron, IL 61012, USA",ROOFTOP,street_address,"17828 Capron Road, Capron, IL  61012",0.0,,,,2822.893641482766,7989,3,72.56,"POLYGON ((849338.6897134035 4704188.63033748, 849312.1445790778 4704572.182561307, 850013.5828887537 4704604.753831603, 850111.8501332966 4704609.729214276, 850124.3014984115 4704415.56989197, 850026.5644861266 4704409.924632803, 850036.4543067312 4704288.246380265, 850132.0923757704 4704294.077139238, 850136.276025197 4704228.833736904, 850066.0520141594 4704225.117558233, 849338.6897134035 4704188.63033748))"
